Time(utc),GHI,DHI,DNI,LWD,wind_dir_min,wind_dir_avg,wind_dir_max,wind_speed_min,wind_speed_avg,wind_speed_max,air_temperature,relative_humidity,air_pressure,rain_accumulation,rain_duration,rain_intensity,hail_accumulation,hail_duration,hail_intensity,
08:59:00 15/03/2018,57.6,57.6,0.2047,0.2047,93.57,103,112.3,4.282,4.942,5.573,-0.1383,65.01,1010,0,0,0,0,0,0,
09:59:00 15/03/2018,76.61,76.61,0.2834,0.2834,95.38,103.9,112.8,4.262,4.835,5.432,-0.1167,63.4,1010,0,0.1667,0,0,0,0,
10:59:00 15/03/2018,115.6,115.6,0.397,0.397,83.2,93.02,103.9,4.378,5.067,5.725,-0.02,63.43,1010,0,0,0,0,0,0,
11:59:00 15/03/2018,205,205,0.7016,0.7016,81.77,91.15,100.2,4.64,5.288,5.985,-0.01167,66.9,1010,0,0.1667,0,0,0,0,
12:59:00 15/03/2018,219.7,219.7,1.021,1.021,81.4,91.83,102.1,5.295,6.115,6.968,0.07833,67.14,1009,0,0,0,0,0,0,
13:59:00 15/03/2018,145.3,145.3,0.5892,0.5892,84.6,93.95,103.4,5.08,5.965,6.823,0.08333,64.22,1009,0,0.3333,0,0,0,0,
14:59:00 15/03/2018,106.5,106.5,0.4728,0.4728,85.92,95.65,104.6,5.013,5.813,6.623,0.09,63.48,1009,0,0,0,0,0,0,
15:59:00 15/03/2018,54.76,54.76,0.2616,0.2616,79.68,91.38,101.8,5.227,6.232,7.21,-0.03167,65.02,1009,0.01,0.3333,0,0,0,0,
16:59:00 15/03/2018,24.62,24.62,0.1543,0.1543,81.33,90.85,100.1,5.65,6.663,7.718,-0.08833,63.92,1009,0,0.5,0,0,0,0,
17:59:00 15/03/2018,1.236,1.236,-0.02832,-0.02832,86.52,94.8,103.6,6.263,7.36,8.417,-0.2917,62.43,1009,0,1.333,0,0,0,0,
18:59:00 15/03/2018,-0.6213,-0.6213,-0.07891,-0.07891,83.68,93.5,104.5,6.252,7.192,8.178,-0.3967,62.05,1010,0,0.6667,0,0,0,0,
19:59:00 15/03/2018,-0.6962,-0.6962,-0.09675,-0.09675,81.25,91.8,102.8,5.358,6.23,7.1,-0.5033,61.57,1010,0,0.3333,0,0,0,0,
20:59:00 15/03/2018,-0.6524,-0.6524,-0.07532,-0.07532,86.68,91.77,101.9,5.562,6.397,7.217,-0.585,62.58,1010,0,0.6667,0,0,0,0,
21:59:00 15/03/2018,-0.6394,-0.6394,-0.07713,-0.07713,88.5,98.18,108.2,5.878,6.818,7.77,-0.6567,61.53,1010,0,0.8333,0,0,0,0,
22:59:00 15/03/2018,-0.7539,-0.7539,-0.1069,-0.1069,83.48,93.58,103.5,5.732,6.728,7.81,-0.9,61.13,1011,0,0.3333,0,0,0,0,
23:59:00 15/03/2018,-0.6646,-0.6646,-0.08642,-0.08642,80.17,90.3,100.7,6.497,7.412,8.397,-1.3,59.19,1011,0,0.8333,0,0,0,0,
00:59:00 16/03/2018,-0.6972,-0.6972,-0.08597,-0.08597,81.53,90.97,100.4,5.765,6.628,7.535,-1.513,58.28,1011,0.01,0.1667,0,0,0,0,
01:59:00 16/03/2018,-0.7044,-0.7044,-0.08078,-0.08078,81.4,90.75,100.5,5.08,5.988,6.842,-1.607,58.2,1011,0,0.6667,0,0,0,0,
02:59:00 16/03/2018,-1.162,-1.162,-0.1975,-0.1975,77.2,87.92,98.83,5.172,6.157,7.097,-1.98,56.22,1011,0,0.5,0,0,0,0,
03:59:00 16/03/2018,-0.9,-0.9,-0.1084,-0.1084,73.55,84.77,89.1,4.555,5.317,6.098,-2.365,55.55,1011,0,0.1667,0,0,0,0,
04:59:00 16/03/2018,-0.7288,-0.7288,-0.07889,-0.07889,67.05,77.95,89.02,5.017,5.888,6.742,-2.655,55.13,1011,0,0.5,0,0,0,0,
05:59:00 16/03/2018,9.219,9.219,0.6987,0.6987,73.72,82.6,92.07,4.967,5.682,6.478,-3.052,59.39,1012,0,0,0,0,0,0,
06:59:00 16/03/2018,102.8,102.8,215.1,215.1,71.23,80.65,90.63,4.968,5.78,6.565,-3.123,65.22,1012,0,0.8333,0,0,0,0,
07:59:00 16/03/2018,222.4,222.4,292.4,292.4,68.77,79.25,90.1,5.69,6.523,7.478,-2.875,67.96,1012,0,0.8333,0,0,0,0,
08:59:00 16/03/2018,215.9,215.9,61.87,61.87,71.43,82.02,93.32,5.645,6.877,8.022,-2.61,67.11,1012,0,1.833,0,0,0,0,
09:59:00 16/03/2018,329.7,329.7,151.3,151.3,73.85,82.9,92.62,6.467,7.538,8.665,-2.02,60.04,1013,0.01,1.333,0,0,0,0,
10:59:00 16/03/2018,343.4,343.4,147.5,147.5,69.95,80.63,91.9,6.023,7.368,8.662,-1.648,57.36,1013,0,0.6667,0,0,0,0,
11:59:00 16/03/2018,378.3,378.3,291,291,74.53,84.35,94.32,6.387,7.492,8.618,-1.598,56.66,1013,0,1.667,0.003333,0,0,0,
12:59:00 16/03/2018,501.6,501.6,671.5,671.5,72.83,84.35,95.57,6.04,7.155,8.273,-1.118,45.97,1013,0.01,0.8333,0,0,0,0,
13:59:00 16/03/2018,428,428,564.2,564.2,75.43,84.62,94.75,7.043,8.32,9.33,-1.508,45,1013,0,1.667,0,0,0,0,
14:59:00 16/03/2018,236.7,236.7,285.4,285.4,71.5,82.12,92.32,5.868,6.892,7.898,-2.252,52.5,1014,0,1.333,0,0,0,0,
15:59:00 16/03/2018,185.1,185.1,384.9,384.9,80,88.13,96.43,5.997,6.98,7.933,-2.267,48.77,1014,0,1,0,0,0,0,
16:59:00 16/03/2018,57.99,57.99,157.6,157.6,77.27,87.03,95.92,5.295,6.112,6.993,-2.633,50.26,1014,0.01,1.5,0,0,0,0,
17:59:00 16/03/2018,1.148,1.148,4.724,4.724,69.55,79.77,90.57,5.107,5.982,6.832,-2.907,50.84,1015,0,1.167,0,0,0,0,
18:59:00 16/03/2018,-2.357,-2.357,-0.4195,-0.4195,65.05,75.58,85.55,4.495,5.41,6.242,-3.208,52.18,1016,0,0.6667,0,0,0,0,
19:59:00 16/03/2018,-2.153,-2.153,-0.414,-0.414,57.53,67.55,78.12,4.748,5.662,6.553,-3.928,61.53,1016,0,1.667,0,0,0,0,
20:59:00 16/03/2018,-2.315,-2.315,-0.443,-0.443,50.97,63.13,74.75,4.585,5.573,6.523,-4.212,60.49,1016,0.01,2,0,0,0,0,
21:59:00 16/03/2018,-2.204,-2.204,-0.4238,-0.4238,56.13,71.08,79.43,4.972,5.952,6.98,-4.505,60.81,1016,0,3.167,0,0,0,0,
